"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","convnext_variant","dataset","entanglement","entropy_weight","epochs","grad_clip","lr","model_key","model_name","n_folds","n_layers","n_qubits","num_heads","paradigm","patience","rotation_config","swin_variant","task","use_amp","weight_decay","backbone","quantum_backbone","specificity_weight","efficientnet_variant","fusion_dim","quantum_entanglement","quantum_feature_map_mode","quantum_n_layers","quantum_n_qubits","quantum_rotation_config","accuracy","accuracy_std","auc_roc","auc_std","epoch","f1_score","f1_std","fnr","fold","folds_completed","inference_ms","mcc","optimizer/lr","sensitivity","specificity","total_params","train/accuracy","train/loss","training_time_s","val/accuracy","val/auc","val/balanced_accuracy","val/f1","val/fnr","val/loss","val/mcc","val/npv","val/ppv","val/sensitivity","val/specificity","val_accuracy","val_accuracy_std"
"breakhis-TBCA-CNN-FeatureMap-Quantum","crashed","-","","breakhis, fusion_quantum, triple_branch_fusion_cnn_featuremap_quantum","2026-04-03T01:27:42.000Z","18813","","10","small","breakhis","","0.01","50","1","0.00005","triple_branch_fusion_cnn_featuremap_quantum","TBCA-CNN-FeatureMap-Quantum","5","","","8","fusion_quantum","15","","small","binary","true","0.0001","","","","b5","768","cyclic","cnn","2","8","u3","","","","","136","","","","3","","","","0.00001295615814745711","","","","0.999252476172678","0.20038484681868995","","0.9068585944115156","0.961663768646472","0.8846160885879015","0.8971410745277879","0.024489795918367346","0.4331538060728925","0.8028285543938128","0.8862793572311496","0.8862793572311496","0.9755102040816328","0.7937219730941704","",""
"breakhis-TBCA-Quantum-Bottleneck","finished","-","","breakhis, fusion_quantum, triple_branch_fusion_bottleneck","2026-04-02T13:05:50.000Z","44502","","10","small","breakhis","","0.01","50","1","0.00005","triple_branch_fusion_bottleneck","TBCA-Quantum-Bottleneck","5","","","8","fusion_quantum","15","","small","binary","true","0.0001","","","","b5","768","","","2","8","","0.8607","0.051","0.9152","0.0357","229","0.8511","0.0593","0.0611","5","5","98.22","0.7138","0.000023430237011767157","0.9389","0.7507","142208881","0.9970193740685545","0.2055953645526297","44496.1","0.8281786941580757","0.912231265491237","0.805213844990947","0.7992293442526812","0.1374233128834356","0.630194523310948","0.5993535553370181","0.888748419721871","0.888748419721871","0.8625766871165644","0.7478510028653295","0.9088","0.0208"
"breakhis-TBCA-Quantum-Fusion","finished","-","","breakhis, fusion_quantum, triple_branch_fusion_quantum","2026-04-02T03:44:06.000Z","33692","","10","small","breakhis","","0.01","50","1","0.00005","triple_branch_fusion_quantum","TBCA-Quantum-Fusion","5","","","8","fusion_quantum","15","","small","binary","true","0.0001","","","","b5","768","","","2","8","","0.8363","0.0677","0.9134","0.0471","232","0.8211","0.0834","0.0609","5","5","88.15","0.6641","0.00001878275282087862","0.9391","0.6916","141808713","0.9970193740685545","0.20633785645359495","33688.1","0.8436426116838488","0.922523599416387","0.8318209784309245","0.8199814413857098","0.13865030674846626","0.5866142993223217","0.6429865506500368","0.9105058365758756","0.9105058365758756","0.8613496932515338","0.8022922636103151","0.9065","0.0217"
"breakhis-TripleBranch-Fusion","crashed","-","","breakhis, fusion, triple_branch_fusion","2026-04-02T01:51:08.000Z","6961","","10","small","breakhis","","0.01","50","1","0.00005","triple_branch_fusion","TripleBranch-Fusion","5","","","8","fusion","15","","small","binary","true","0.0001","","","","b5","768","","","","","","","","","","62","","","","2","","","","0.00004610819813755037","","","","0.9896865520728008","0.2208753380965897","","0.8878386893509767","0.8667600815133544","0.8525359333516433","0.8716905886627907","0.007049345417925478","0.4741895106804769","0.7677155292943992","0.8522039757994814","0.8522039757994814","0.9929506545820744","0.7121212121212122","",""
"breakhis-MSQ-Fusion","finished","-","","breakhis, fusion_quantum, multi_scale_quantum_fusion","2026-04-01T23:16:04.000Z","9282","","16","","breakhis","","","50","1","0.00002","multi_scale_quantum_fusion","MSQ-Fusion","5","2","8","","fusion_quantum","15","","","binary","false","0.0001","resnet34","","","","","","","","","","0.8137","0.0586","0.8818","0.0508","225","0.7979","0.0738","0.0872","5","5","43.53","0.6151","0.000010000000000000004","0.9128","0.6741","9119258","0.9746646795827124","0.24765766937224593","9279.6","0.8384879725085911","0.9135654894791428","0.8379700107230124","0.8178270309149274","0.1607361963190184","0.5636950702601692","0.6439029152260989","0.9230769230769232","0.9230769230769232","0.8392638036809816","0.836676217765043","0.8899","0.0327"
"breakhis-CB-QCCF-ConvEff","finished","-","","breakhis, cb_qccf_convnet_efficient, fusion_quantum","2026-04-01T23:15:43.000Z","20","","14","","breakhis","cyclic","","50","1","0.00002","cb_qccf_convnet_efficient","CB-QCCF-ConvEff","5","2","8","","fusion_quantum","15","ry_only","","binary","false","0.0001","","efficientnet_b5","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"breakhis-CB-QCCF","finished","-","","breakhis, cb_qccf, fusion_quantum","2026-04-01T20:12:51.000Z","10959","","16","","breakhis","cyclic","","50","1","0.00002","cb_qccf","CB-QCCF","5","2","8","","fusion_quantum","15","ry_only","","binary","false","0.0001","swin_small","resnet18","2","","","","","","","","0.8443","0.052","0.9138","0.0216","228","0.8327","0.0619","0.0683","5","5","46.79","0.6792","0.000008126186854142756","0.9317","0.7213","62911207","0.9990685543964232","0.03300244645118215","10949.3","0.8264604810996563","0.8652785346388454","0.7925185015908731","0.7929978025693036","0.12269938650306748","11.108408239336985","0.5860019861183883","0.8751529987760098","0.8751529987760098","0.8773006134969326","0.7077363896848138","0.9074","0.0243"
"breakhis-Quantum-Enhanced-Fusion","finished","-","","breakhis, fusion_quantum, quantum_enhanced_fusion","2026-04-01T15:22:45.000Z","17393","","16","tiny","breakhis","cyclic","0.01","50","1","0.00002","quantum_enhanced_fusion","Quantum-Enhanced-Fusion","5","2","8","","fusion_quantum","15","ry_only","tiny","binary","false","0.0001","","","","","","","","","","","0.86","0.0369","0.8979","0.043","241","0.852","0.0398","0.0686","5","5","44.85","0.7123","0.0000015567207449798523","0.9314","0.7594","56657397","0.9996274217585692","0.20121986995244345","17388.3","0.8625429553264605","0.9033944486438024","0.8223812118761755","0.8314411492122336","0.07730061349693251","0.5489623706365369","0.6649394732399169","0.8857479387514723","0.8857479387514723","0.9226993865030676","0.7220630372492837","0.9142","0.0235"
"breakhis-QENN-RX_RY_RZ","finished","-","","breakhis, qenn_rx_ry_rz, quantum","2026-04-01T12:46:04.000Z","9392","","16","","breakhis","cyclic","","50","1","0.00002","qenn_rx_ry_rz","QENN-RX_RY_RZ","5","2","8","","quantum","15","rx_ry_rz","","binary","false","0.0001","","","","","","","","","","","0.8555","0.0393","0.9319","0.0204","238","0.8444","0.046","0.0529","5","5","45.19","0.7061","0.0000027103137257858876","0.9471","0.7266","11522786","0.97876304023845","0.23796912430384476","9388.7","0.8565292096219931","0.8903264366199659","0.806618383813525","0.8205850727533677","0.0687116564417178","0.49016933609120217","0.6466755068490527","0.8724137931034482","0.8724137931034482","0.9312883435582822","0.6819484240687679","0.8912","0.0257"
"breakhis-QENN-U3","finished","-","","breakhis, qenn_u3, quantum","2026-04-01T09:55:14.000Z","10248","","16","","breakhis","cyclic","","50","1","0.00002","qenn_u3","QENN-U3","5","2","8","","quantum","15","u3","","binary","false","0.0001","","","","","","","","","","","0.861","0.0528","0.9252","0.0329","250","0.8507","0.0622","0.0634","5","5","24.39","0.7163","0","0.9366","0.7545","11522754","0.9830476900149032","0.2333012419557074","10244.4","0.8548109965635738","0.8931882503911264","0.8127639003638794","0.8217982688570924","0.08220858895705521","0.5034323549762214","0.6457491557318937","0.88","0.88","0.9177914110429448","0.7077363896848138","0.889","0.0237"
